Genus,Species,Year,Stream,State.Prov.,Country,Elev.m,Date,Lat,Lon,D.From.Source.m,Verified.Since.2010
Lednia,Lednia tumana,1996-2015,Boulder Pass 1,MT,USA,2180,NA,48.9652,-114.0937,0,yes
Lednia,Lednia tumana,1996-2015,Boulder Pass 2,MT,USA,2248,NA,48.9626,-114.0969,0,yes
Lednia,Lednia tumana,2000,Bullhead lake inlet,MT,USA,1610,NA,48.78,-113.743,1310,yes
Lednia,Lednia tumana,1996-2015,Buttercup Park upper far West,MT,USA,1865,NA,48.422,-113.3876,389,yes
Lednia,Lednia tumana,2010,Cataract Creek,MT,USA,2225,NA,48.721,-113.693,221,yes
Lednia,Lednia tumana,1996-2015,Cataract Creek East 3,MT,USA,2134,NA,48.7252,-113.6716,164,yes
Lednia,Lednia tumana,1996-2015,Cataract Creek West,MT,USA,1619,NA,48.7425,-113.7001,190,yes
Lednia,Lednia tumana,1996-2015,Cattle Queen Creek,MT,USA,1906.5,NA,48.8343,-113.7964,1015,yes
Lednia,Lednia tumana,1996-2015,Chaney Glacier seep,MT,USA,2169,NA,48.8548,-113.8257,184,yes
Lednia,Lednia tumana,1996-2015,Clements Basin North,MT,USA,2201,NA,48.694,-113.7335,155,yes
Lednia,Lednia tumana,1998,Clements Creek,MT,USA,2085.33,NA,48.69,-113.734,189,yes
Lednia,Lednia tumana,2000,Cracker Lake inlet,MT,USA,1879,NA,48.738,-113.653,382,yes
Lednia,Lednia tumana,2011,Grant Glacier,MT,USA,1724.5,NA,48.329269,-113.741139,478,yes
Lednia,Lednia tumana,1996-2015,Grinnell Glacier,MT,USA,1911.2,NA,48.7566,-113.7247,744,yes
Lednia,Lednia tumana,1996-2015,Grinnell Glacier North 2,MT,USA,1822,NA,48.774,-113.7131,515,yes
Lednia,Lednia tumana,1996-2015,Gunsight Lake 1,MT,USA,2070,NA,48.612116,-113.728951,710,yes
Lednia,Lednia tumana,1996-2015,Gunsight Lake 3,MT,USA,1913,NA,48.6152,-113.7236,334,yes
Lednia,Lednia tumana,1996-2015,Heavens Peak,MT,USA,2024,NA,48.71022,-113.84266,292,yes
Lednia,Lednia tumana,1996-2015,Heavens Peak Ridge 2,MT,USA,1830,NA,48.7412,-113.854,402,yes
Lednia,Lednia tumana,1998,Hidden Lake Creek,MT,USA,2119,NA,48.678636,-113.736738,75,yes
Lednia,Lednia tumana,1996-2015,Hidden Lake West 1,MT,USA,2026,NA,48.6757,-113.7522,81,yes
Lednia,Lednia tumana,1996-2015,Hidden Lake West 3,MT,USA,2135,NA,48.6653,-113.7548,24,yes
Lednia,Lednia tumana,1996-2015,Hidden Lake West 4,MT,USA,2140,NA,48.6613,-113.7529,250,yes
Lednia,Lednia tumana,1996-2015,Hole-in-the-Wall 2,MT,USA,2172,NA,48.9664,-114.0752,413,yes
Lednia,Lednia tumana,1996-2015,Hole-in-the-Wall 4,MT,USA,2069.66,NA,48.9725,-114.0674,23,yes
Lednia,Lednia tumana,1996-2015,Hole-in-the-Wall 5,MT,USA,2082,NA,48.97,-114.0659,208,yes
Lednia,Lednia tumana,2011,Jackson Glacier,MT,USA,2006,NA,48.605547,-113.695736,217,yes
