Species,Present,Year,Stream,State.Prov.,Country,Elev.m,Date,GPS.Decimal.Degrees,Old.GPS.Coords,Publication,Lat,Lon
Lednia tetonica,no,2012,Cascade Lower,WY,USA,2003,24-Jul,"43.765056, -110.744667",,Tronstad et al. 2016,43.765056,-110.744667
Lednia tetonica,no,2010,Dinwoody Below Snout,WY,USA,3390,4-Sep,n/a,,Thompson et al. 2013,n/a,
Lednia tetonica,no,2010,Dinwoody Ck 2,WY,USA,3311,4-Sep,43.220278 -109.772222,"43°11'133""N, 109°37'560""W",Thompson et al. 2013,43.220278 -109.772222,
Lednia tetonica,no,2010,Heap Steep Trib,WY,USA,3283,4-Sep,43.235556 -109.714167,"43°11'188""N, 109°37'351""W",Thompson et al. 2013,43.235556 -109.714167,
Lednia tetonica,no,2010,Dinwoody CK 3,WY,USA,3064,4-Sep,43.308611 -109.846667,"43°12'391""N, 109°36'888""W",Thompson et al. 2013,43.308611 -109.846667,
Lednia tetonica,no,2010,Dinwoody below confluence,WY,USA,3010,4-Sep,43.433611 -109.721667,"43°12'841""N, 109°36'438""W",Thompson et al. 2013,43.433611 -109.721667,
Lednia tetonica,no,2010,Gannett snout north,WY,USA,3363,4-Sep,43.268056 -109.694444,"43°12'245""N, 109°38'220""W",Thompson et al. 2013,43.268056 -109.694444,
Lednia tetonica,no,2010,Gannett stout south,WY,USA,3373,4-Sep,43.26 -109.684444,"43°12'216""N, 109°38'184""W",Thompson et al. 2013,43.26 -109.684444,
Lednia tetonica,no,2010,Gannett Ck 3,WY,USA,3213,4-Sep,43.284444 -109.807222,"43°12'304""N, 109°37'686""W",Thompson et al. 2013,43.284444 -109.807222,
Lednia tetonica,no,2010,Gannett Ck 4,WY,USA,3051,4-Sep,43.322222 -109.852778,"43°12'440""N, 109°36'910""W",Thompson et al. 2013,43.322222 -109.852778,
Lednia tetonica,no,2017,Middle Teton (high),WY,USA,NA,5-Aug-18,,,Unpublished,,
Lednia tetonica,no,2015,Middle Teton (low),WY,USA,2950,8-Aug-15,"43.72527, -110.99001",,Unpublished,43.72527,-110.99001
Lednia tetonica,no,2016,Mica Lake inlet,WY,USA,2914,27-Jul-16,"43.78182, -110.84663",,Unpublished,43.78182,-110.84663
Lednia tetonica,no,2017,Grizzly Lake inlet,WY,USA,2950,7-Aug-17,"43.79752, -110.80715",,Unpublished,43.79752,-110.80715
Lednia tetonica,no,2017,NF Teton Creek (upper),WY,USA,2950,8-Aug-17,"43.77742, -110.85945",,Unpublished,43.77742,-110.85945
Lednia tetonica,no,2015,NF Teton Creek (lower),WY,USA,2900,10-Aug-15,"43.77453, -110.86115",,Unpublished,43.77453,-110.86115
Lednia tetonica,no,2016,Table Mtn #1,WY,USA,3025,5-Aug-16,"43.752,-110.859",,Unpublished,43.752,-110.859
Lednia tetonica,no,2016,Table Mtn #2,WY,USA,3034,5-Aug-16,"43.752,-110.858",,Unpublished,43.752,-110.858
Lednia tetonica,no,2015,Wind Cave (2015 low),WY,USA,2606,9-Aug-15,"43.66657, -110.95535",,Unpublished,43.66657,-110.95535
Lednia tetonica,no,2016,South Cascade (2016 high),WY,USA,3162,3-Aug-16,"43.720,-110.838",,Unpublished,43.72,-110.838
Lednia tetonica,no,2016,Death Canyon #1,WY,USA,NA,4-Aug-16,,,Unpublished,,
Lednia tetonica,no,2016,Death Canyon #2,WY,USA,NA,4-Aug-16,,,Unpublished,,
Lednia tetonica,no,2016,Death Canyon #3,WY,USA,NA,4-Aug-16,,,Unpublished,,
Lednia tetonica,no,2016,Death Canyon #4 (2016 site),WY,USA,2953,4-Aug-16,"43.643,-110.887",,Unpublished,43.643,-110.887
Lednia tetonica,no,2016,Death Canyon #5,WY,USA,NA,4-Aug-16,,,Unpublished,,
Lednia tetonica,no,2016,Death Canyon #6,WY,USA,NA,4-Aug-16,,,Unpublished,,
Lednia tetonica,no,2016,AK basin upper 2016 rock glacier,WY,USA,3090,2-Aug-16,"43.700,-110.841",,Unpublished,43.7,-110.841
Lednia tetonica,no,2017,AK basin lower icy seep,WY,USA,NA,12-Aug-17,,,Unpublished,,
Lednia tetonica,no,2016,AK basin lower site main channel (2015),WY,USA,2882,5-Aug-16,"43.69287, -110.85854",,Unpublished,43.69287,-110.85854
Lednia tetonica,no,2017,AK basin upper site/SF Teton upper (2016),WY,USA,NA,13-Aug-17,,,Unpublished,,
Lednia tetonica,no,2016,S. Fork Granite,WY,USA,2911,31-Jul-16,"43.583,-110.899",,Unpublished,43.583,-110.899
Other,no,1999,Glacier Creek 1,CO,USA,3416,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,Glacier Creek 2,CO,USA,3245,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,Glacier Creek 5,CO,USA,3123,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,Glacier Creek 9,CO,USA,2968,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,Glacier Creek 16,CO,USA,2611,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,S. Fork Poudre 1,CO,USA,3416,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,S. Fork Poudre 2,CO,USA,3379,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,S. Fork Poudre 5,CO,USA,3264,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,S. Fork Poudre 9,CO,USA,2757,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,S. Fork Poudre 17,CO,USA,2721,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,S. St. Vrain 1,CO,USA,3404,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,S. St. Vrain 2,CO,USA,3221,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,S. St. Vrain 5,CO,USA,3099,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,S. St. Vrain 8,CO,USA,2855,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,Poudre Trib 1,CO,USA,3416,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,Poudre Trib 2,CO,USA,3257,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,Poudre Trib 5,CO,USA,3096,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,Poudre Trib 11,CO,USA,2980,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,1999,Poudre Trib 18,CO,USA,2965,4 Aug-19 Aug,will need to approximate,,Finn & Poff 2005,will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
Other,no,2011,"Cache La Poudre, Big Thompson, St. Vrain",CO,USA,1556,27 June-10 Aug,will need to approximate,,Gill et al. (2013),will need to approximate,
