Species,Present,Year,Stream,State.Prov.,Country,Elev.m,Date,GPS.Decimal.Degrees,Old.GPS.Coords,Publication,Lat,Lon
Lednia tumana,yes,2010,Bering Creek,MT,USA,1824,,"48.701,-113.620","307193, 5397480","Muhlfeld et al., 2011",48.701,-113.62
Lednia tumana,yes,2010,Bering Creek,MT,USA,1842,,"48.701,-113.620","307193, 5397480","Muhlfeld et al., 2011",48.701,-113.62
Lednia tumana,yes,2000,Bullhead lake inlet,MT,USA,1610,,"48.780,-113.743","298486, 5406641","Muhlfeld et al., 2011",48.78,-113.743
Lednia tumana,yes,2010,Cataract Creek,MT,USA,2222,,"48.721,-113.693","301920, 5399895","Muhlfeld et al., 2011",48.721,-113.693
Lednia tumana,yes,1998,Clements Creek,MT,USA,2168,,"48.690,-113.734","298830, 5396609","Muhlfeld et al., 2011",48.69,-113.734
Lednia tumana,yes,1998,Clements Creek,MT,USA,2043,,"48.690,-113.734","298830, 5396609","Muhlfeld et al., 2011",48.69,-113.734
Lednia tumana,yes,2000,Cracker Lake inlet,MT,USA,1891,,"48.738,-113.653","304915, 5401753","Muhlfeld et al., 2011",48.738,-113.653
Lednia tumana,yes,1997,Gunsight lake inlet,MT,USA,2055,,"48.612,-113.728","298919, 5387953","Muhlfeld et al., 2011",48.612,-113.728
Lednia tumana,yes,1998,Hidden Lake Creek,MT,USA,2165,,"48.679,-113.737","298518, 5395334","Muhlfeld et al., 2011",48.679,-113.737
Lednia tumana,yes,2010,Hidden Lake Creek,MT,USA,2139,,"48.676,-113.753","297363, 5395114","Muhlfeld et al., 2011",48.676,-113.753
Lednia tumana,yes,2010,Hidden Lake Creek,MT,USA,2147,,"48.676,-113.753","297363, 5395114","Muhlfeld et al., 2011",48.676,-113.753
Lednia tumana,yes,2010,Hidden Lake Creek,MT,USA,2025,,"48.676,-113.753","297363, 5395114","Muhlfeld et al., 2011",48.676,-113.753
Lednia tumana,yes,1998,Logan Creek,MT,USA,2051,,"48.697,-113.727","299361, 5397379","Muhlfeld et al., 2011",48.697,-113.727
Lednia tumana,yes,1998,Logan Creek,MT,USA,2116,,"48.697,-113.727","299361, 5397379","Muhlfeld et al., 2011",48.697,-113.727
Lednia tumana,yes,2010,Lunch Creek,MT,USA,2189,,"48.702,-113.704","301064, 5397899","Muhlfeld et al., 2011",48.702,-113.704
Lednia tumana,yes,2010,Lake McDonald,MT,USA,1962,,"48.709,-113.841","290996, 5399053","Muhlfeld et al., 2011",48.709,-113.841
Lednia tumana,yes,1997,Mineral Creek,MT,USA,2009,,"48.844,-113.835","292033, 5413962","Muhlfeld et al., 2011",48.844,-113.835
Lednia tumana,yes,2005,Preston Park,MT,USA,2234,,"48.722,-113.640","305868, 5399936","Muhlfeld et al., 2011",48.722,-113.64
Lednia tumana,yes,1997,Reynolds Spring,MT,USA,2166,,"48.688,-113.736","298639, 5396391","Muhlfeld et al., 2011",48.688,-113.736
Lednia tumana,yes,1997,Reynolds Spring,MT,USA,2200,,"48.688,-113.736","298639, 5396391","Muhlfeld et al., 2011",48.688,-113.736
Lednia tumana,yes,1998,Reynolds Spring,MT,USA,2074,,"48.685,-113.726","299338, 5395994","Muhlfeld et al., 2011",48.685,-113.726
Lednia tumana,yes,1998,Reynolds Spring,MT,USA,2113,,"48.685,-113.726","299338, 5395994","Muhlfeld et al., 2011",48.685,-113.726
Lednia tumana,yes,2000,Reynolds Spring,MT,USA,2332,,"48.703,-113.695","301753, 5397923","Muhlfeld et al., 2011",48.703,-113.695
Lednia tumana,yes,2010,Siyeh Creek,MT,USA,1870,,"48.700,-113.671","303461, 5397601","Muhlfeld et al., 2011",48.7,-113.671
Lednia tumana,yes,2010,Siyeh Creek,MT,USA,1948,,"48.700,-113.671","303461, 5397601","Muhlfeld et al., 2011",48.7,-113.671
Lednia tumana,yes,2010,Siyeh Creek,MT,USA,1968,,"48.700,-113.671","303461, 5397601","Muhlfeld et al., 2011",48.7,-113.671
Lednia tumana,yes,2010,Tunnel Creek,MT,USA,1825,,"48.329,-113.741","296837, 5356535","Muhlfeld et al., 2011",48.329,-113.741
Lednia tumana,yes,1996-2015,Upper Olor Lake,MT,USA,2211,,"47.7397, -113.6519",,Giersch et al. 2017,47.7397,-113.6519
Lednia tumana,yes,1996-2015,Swan Glacier,MT,USA,2008,,"47.7291, -113.6301",,Giersch et al. 2017,47.7291,-113.6301
Lednia tumana,yes,1996-2015,Boulder Pass 1,MT,USA,2180,,"48.9652, -114.0937",,Giersch et al. 2017,48.9652,-114.0937
Lednia tumana,yes,1996-2015,Upper McDonald Creek 3,MT,USA,2169,,"48.7391, -113.7276",,Giersch et al. 2017,48.7391,-113.7276
Lednia tumana,yes,1996-2015,Clements Basin North,MT,USA,2201,,"48.694, -113.7335",,Giersch et al. 2017,48.694,-113.7335
Lednia tumana,yes,1996-2015,Reynolds Moraine Seep,MT,USA,2166,,"48.6882, -113.7361",,Giersch et al. 2017,48.6882,-113.7361
Lednia tumana,yes,1996-2015,Thunderbird Glacier 3,MT,USA,2063,,"48.9402, -114.0348",,Giersch et al. 2017,48.9402,-114.0348
Lednia tumana,yes,1996-2015,Jackstraw Lake 2,MT,USA,2022,,"48.4142, -113.3732",,Giersch et al. 2017,48.4142,-113.3732
Lednia tumana,yes,1996-2015,Miche Wabun Glacier 3,MT,USA,2152,,"48.9473, -113.833",,Giersch et al. 2017,48.9473,-113.833
Lednia tumana,yes,1996-2015,Jackson Glacier far east,MT,USA,1907,,"48.6064, -113.6817",,Giersch et al. 2017,48.6064,-113.6817
Lednia tumana,yes,1996-2015,Cataract Creek East 3,MT,USA,2134,,"48.7252, -113.6716",,Giersch et al. 2017,48.7252,-113.6716
Lednia tumana,yes,1996-2015,Boulder Pass 2,MT,USA,2248,,"48.9626, -114.0969",,Giersch et al. 2017,48.9626,-114.0969
Lednia tumana,yes,1996-2015,Piegan Spring,MT,USA,2375,,"48.7032, -113.694",,Giersch et al. 2017,48.7032,-113.694
Lednia tumana,yes,1996-2015,Piegan Spring,MT,USA,2354,,"48.703, -113.6943",,Giersch et al. 2017,48.703,-113.6943
Lednia tumana,yes,1996-2015,Piegan Spring,MT,USA,2325,,"48.7028, -113.6946",,Giersch et al. 2017,48.7028,-113.6946
Lednia tumana,yes,1996-2015,Upper McDonald Creek 8,MT,USA,1970,,"48.7091, -113.7157",,Giersch et al. 2017,48.7091,-113.7157
Lednia tumana,yes,1996-2015,Hidden Lake West 1,MT,USA,2026,,"48.6757, -113.7522",,Giersch et al. 2017,48.6757,-113.7522
Lednia tumana,yes,1996-2015,Boulder Pass 3,MT,USA,2177,,"48.965, -114.0943",,Giersch et al. 2017,48.965,-114.0943
Lednia tumana,yes,1996-2015,Hole-in-the-Wall 4,MT,USA,2162,,"48.9725, -114.0674",,Giersch et al. 2017,48.9725,-114.0674
Lednia tumana,yes,1996-2015,Triple Divide Pass 3,MT,USA,2029,,"48.5823, -113.5306",,Giersch et al. 2017,48.5823,-113.5306
Lednia tumana,yes,1996-2015,Thunderbird Glacier 2,MT,USA,2049,,"48.9417, -114.0363",,Giersch et al. 2017,48.9417,-114.0363
Lednia tumana,yes,1996-2015,Piegan Spring,MT,USA,2269,,"48.7021, -113.6952",,Giersch et al. 2017,48.7021,-113.6952
Lednia tumana,yes,1996-2015,Hole-in-the-Wall 4,MT,USA,2105,,"48.9711, -114.0686",,Giersch et al. 2017,48.9711,-114.0686
Lednia tumana,yes,1996-2015,Piegan Spring,MT,USA,2217,,"48.7015, -113.6959",,Giersch et al. 2017,48.7015,-113.6959
Lednia tumana,yes,1996-2015,Chaney Glacier seep,MT,USA,2169,,"48.8548, -113.8257",,Giersch et al. 2017,48.8548,-113.8257
Lednia tumana,yes,1996-2015,Jackson Glacier 1,MT,USA,2033,,"48.6049, -113.6976",,Giersch et al. 2017,48.6049,-113.6976
Lednia tumana,yes,1996-2015,Miche Wabun Glacier 2,MT,USA,2092,,"48.9478, -113.8381",,Giersch et al. 2017,48.9478,-113.8381
Lednia tumana,yes,1996-2015,Appistoki Upper Basin Side Seep,MT,USA,2095,,"48.4587, -113.3489",,Giersch et al. 2017,48.4587,-113.3489
Lednia tumana,yes,1996-2015,No Name Lake 2,MT,USA,2076,,"48.4859, -113.4658",,Giersch et al. 2017,48.4859,-113.4658
Lednia tumana,yes,1996-2015,Morningstar,MT,USA,2137,,"48.5503, -113.4661",,Giersch et al. 2017,48.5503,-113.4661
Lednia tumana,yes,1996-2015,Logan Creek Upper North,MT,USA,2131,,"48.6977, -113.7333",,Giersch et al. 2017,48.6977,-113.7333
Lednia tumana,yes,1996-2015,Boulder Glacier,MT,USA,2224,,"48.9607, -114.0845",,Giersch et al. 2017,48.9607,-114.0845
Lednia tumana,yes,1996-2015,Reynolds Creek West 1,MT,USA,2117,,"48.6873, -113.733",,Giersch et al. 2017,48.6873,-113.733
Lednia tumana,yes,1996-2015,Lunch Creek,MT,USA,2285,,"48.7099, -113.7043",,Giersch et al. 2017,48.7099,-113.7043
Lednia tumana,yes,1996-2015,Two Ocean Glacier 3,MT,USA,2238,,"48.8371, -114.0073",,Giersch et al. 2017,48.8371,-114.0073
Lednia tumana,yes,1996-2015,Reynolds Creek,MT,USA,2167,,"48.6901, -113.7335",,Giersch et al. 2017,48.6901,-113.7335
Lednia tumana,yes,1996-2015,Reynolds Creek West 1,MT,USA,2079,,"48.6871, -113.7317",,Giersch et al. 2017,48.6871,-113.7317
Lednia tumana,yes,1996-2015,Thunderbird Glacier 5,MT,USA,2130,,"48.937, -114.0388",,Giersch et al. 2017,48.937,-114.0388
Lednia tumana,yes,1996-2015,Sexton Glacier North,MT,USA,2248,,"48.7113, -113.6234",,Giersch et al. 2017,48.7113,-113.6234
Lednia tumana,yes,1996-2015,Medicine Grizzly Lake,MT,USA,2176,,"48.5627, -113.506",,Giersch et al. 2017,48.5627,-113.506
Lednia tumana,yes,1996-2015,Thunderbird Glacier 1,MT,USA,1982,,"48.9447, -114.0373",,Giersch et al. 2017,48.9447,-114.0373
Lednia tumana,yes,1996-2015,Birdwoman West,MT,USA,2058,,"48.6965, -113.7577",,Giersch et al. 2017,48.6965,-113.7577
Lednia tumana,yes,1996-2015,Reynolds Creek Spring,MT,USA,2150,,"48.6826, -113.7305",,Giersch et al. 2017,48.6826,-113.7305
Lednia tumana,yes,1996-2015,Siyeh Creek West,MT,USA,1875,,"48.7004, -113.6712",,Giersch et al. 2017,48.7004,-113.6712
Lednia tumana,yes,1996-2015,Jackson Glacier 2,MT,USA,2058,,"48.6034, -113.6976",,Giersch et al. 2017,48.6034,-113.6976
Lednia tumana,yes,1996-2015,Siyeh Creek West,MT,USA,1811,,"48.7002, -113.6697",,Giersch et al. 2017,48.7002,-113.6697
Lednia tumana,yes,1996-2015,Swiftcurrent Glacier 1,MT,USA,2009,,"48.7783, -113.756",,Giersch et al. 2017,48.7783,-113.756
Lednia tumana,yes,1996-2015,Reynolds Mt. South Face 1,MT,USA,2257,,"48.6657, -113.7285",,Giersch et al. 2017,48.6657,-113.7285
Lednia tumana,yes,1996-2015,Two Ocean Glacier 1,MT,USA,2279,,"48.8428, -114.0155",,Giersch et al. 2017,48.8428,-114.0155
Lednia tumana,yes,1996-2015,Preston Park,MT,USA,2257,,"48.7233, -113.6399",,Giersch et al. 2017,48.7233,-113.6399
Lednia tumana,yes,1996-2015,Rising Wolf North Face,MT,USA,1968,,"48.5025, -113.4057",,Giersch et al. 2017,48.5025,-113.4057
Lednia tumana,yes,1996-2015,Preston Park West 1,MT,USA,2282,,"48.721, -113.6435",,Giersch et al. 2017,48.721,-113.6435
Lednia tumana,yes,1996-2015,Lunch Creek High East,MT,USA,2162,,"48.7059, -113.704",,Giersch et al. 2017,48.7059,-113.704
Lednia tumana,yes,1996-2015,Miche Wabun Glacier 4,MT,USA,2149,,"48.9476, -113.8296",,Giersch et al. 2017,48.9476,-113.8296
Lednia tumana,yes,1996-2015,Two Ocean Glacier 2,MT,USA,2375,,"48.8383, -114.012",,Giersch et al. 2017,48.8383,-114.012
Lednia tumana,yes,1996-2015,Sue Lake East,MT,USA,2183,,"48.8618, -113.8403",,Giersch et al. 2017,48.8618,-113.8403
Lednia tumana,yes,1996-2015,Hole-in-the-Wall 5,MT,USA,2082,,"48.97, -114.0659",,Giersch et al. 2017,48.97,-114.0659
Lednia tumana,yes,1996-2015,Two Ocean Glacier 2,MT,USA,2247,,"48.8379, -114.0075",,Giersch et al. 2017,48.8379,-114.0075
Lednia tumana,yes,1996-2015,Heavens Peak Ridge 2,MT,USA,1830,,"48.7412, -113.854",,Giersch et al. 2017,48.7412,-113.854
Lednia tumana,yes,1996-2015,Mineral Creek,MT,USA,2004,,"48.8438, -113.8347",,Giersch et al. 2017,48.8438,-113.8347
Lednia tumana,yes,1996-2015,Boulder Glacier,MT,USA,2281,,"48.9608, -114.0909",,Giersch et al. 2017,48.9608,-114.0909
Lednia tumana,yes,1996-2015,Grinnell Glacier North 2,MT,USA,1822,,"48.774, -113.7131",,Giersch et al. 2017,48.774,-113.7131
Lednia tumana,yes,1996-2015,Hole-in-the-Wall 2,MT,USA,2172,,"48.9664, -114.0752",,Giersch et al. 2017,48.9664,-114.0752
Lednia tumana,yes,1996-2015,Buttercup Park upper far West,MT,USA,1865,,"48.422, -113.3876",,Giersch et al. 2017,48.422,-113.3876
Lednia tumana,yes,1996-2015,Miche Wabun Glacier 4,MT,USA,2081,,"48.9492, -113.8295",,Giersch et al. 2017,48.9492,-113.8295
Lednia tumana,yes,1996-2015,Triple Divide Pass 4,MT,USA,1992,,"48.5847, -113.5368",,Giersch et al. 2017,48.5847,-113.5368
Lednia tumana,yes,1996-2015,Sexton Glacier South,MT,USA,1824,,"48.6996, -113.6224",,Giersch et al. 2017,48.6996,-113.6224
Lednia tumana,yes,1996-2015,Lake Ellen Wilson South,MT,USA,2053,,"48.6073, -113.738",,Giersch et al. 2017,48.6073,-113.738
Lednia tumana,yes,1996-2015,Heavens Peak East,MT,USA,1960,,"48.7094, -113.8412",,Giersch et al. 2017,48.7094,-113.8412
Lednia tumana,yes,1996-2015,Hidden Lake West 3,MT,USA,2135,,"48.6653, -113.7548",,Giersch et al. 2017,48.6653,-113.7548
Lednia tumana,yes,1996-2015,Swiftcurrent Glacier 2,MT,USA,2029,,"48.7773, -113.7558",,Giersch et al. 2017,48.7773,-113.7558
Lednia tumana,yes,1996-2015,Mt. James 3,MT,USA,2170,,"48.5934, -113.4853",,Giersch et al. 2017,48.5934,-113.4853
Lednia tumana,yes,1996-2015,Gunsight Lake 1,MT,USA,2041,,"48.6118, -113.73",,Giersch et al. 2017,48.6118,-113.73
Lednia tumana,yes,1996-2015,Logging Saddle 2,MT,USA,1928,,"48.8274, -113.9855",,Giersch et al. 2017,48.8274,-113.9855
Lednia tumana,yes,1996-2015,Reynolds Mt. South Face 1,MT,USA,2233,,"48.6644, -113.7271",,Giersch et al. 2017,48.6644,-113.7271
Lednia tumana,yes,1996-2015,Triple Divide Pass 5,MT,USA,1987,,"48.5847, -113.5359",,Giersch et al. 2017,48.5847,-113.5359
Lednia tumana,yes,1996-2015,Lunch Creek,MT,USA,2184,,"48.7068, -113.7042",,Giersch et al. 2017,48.7068,-113.7042
Lednia tumana,yes,1996-2015,Reynolds Creek,MT,USA,2050,,"48.6881, -113.7294",,Giersch et al. 2017,48.6881,-113.7294
Lednia tumana,yes,1996-2015,Two Ocean Glacier 4,MT,USA,2238,,"48.8366, -114.0072",,Giersch et al. 2017,48.8366,-114.0072
Lednia tumana,yes,1996-2015,Piegan Glacier 2,MT,USA,1909,,"48.7119, -113.6744",,Giersch et al. 2017,48.7119,-113.6744
Lednia tumana,yes,1996-2015,Shepard Glacier,MT,USA,2188,,"48.8652, -113.8568",,Giersch et al. 2017,48.8652,-113.8568
Lednia tumana,yes,1996-2015,Boulder Creek,MT,USA,2162,,"48.7195, -113.6205",,Giersch et al. 2017,48.7195,-113.6205
Lednia tumana,yes,1996-2015,Boulder Glacier 1,MT,USA,2262,,"48.9608, -114.0877",,Giersch et al. 2017,48.9608,-114.0877
Lednia tumana,yes,1996-2015,Sperry Glacier 6,MT,USA,2263,,"48.6283, -113.7673",,Giersch et al. 2017,48.6283,-113.7673
Lednia tumana,yes,1996-2015,Sperry Glacier 5,MT,USA,2237,,"48.6328, -113.7681",,Giersch et al. 2017,48.6328,-113.7681
Lednia tumana,yes,1996-2015,Hidden Lake West 4,MT,USA,2140,,"48.6613, -113.7529",,Giersch et al. 2017,48.6613,-113.7529
Lednia tumana,yes,1996-2015,Hole-in-the-Wall 4,MT,USA,1942,,"48.9666, -114.0679",,Giersch et al. 2017,48.9666,-114.0679
Lednia tumana,yes,1996-2015,Logging Saddle 3,MT,USA,1885,,"48.8245, -113.9863",,Giersch et al. 2017,48.8245,-113.9863
Lednia tumana,yes,1996-2015,Logan Creek Spring,MT,USA,2116,,"48.6984, -113.7313",,Giersch et al. 2017,48.6984,-113.7313
Lednia tumana,yes,1996-2015,No Name Lake 1,MT,USA,2009,,"48.4842, -113.4634",,Giersch et al. 2017,48.4842,-113.4634
Lednia tumana,yes,1996-2015,Twin Lakes,MT,USA,2051,,"48.6439, -113.7393",,Giersch et al. 2017,48.6439,-113.7393
Lednia tumana,yes,1996-2015,Swiftcurrent Glacier 4,MT,USA,2094,,"48.7818, -113.758",,Giersch et al. 2017,48.7818,-113.758
Lednia tumana,yes,1996-2015,Logan Creek Spring,MT,USA,2104,,"48.698, -113.7293",,Giersch et al. 2017,48.698,-113.7293
Lednia tumana,yes,1996-2015,Gunsight Lake 3,MT,USA,1913,,"48.6152, -113.7236",,Giersch et al. 2017,48.6152,-113.7236
Lednia tumana,yes,1996-2015,Lunch Creek,MT,USA,2169,,"48.7062, -113.7043",,Giersch et al. 2017,48.7062,-113.7043
Lednia tumana,yes,1996-2015,Lunch Creek,MT,USA,2156,,"48.7058, -113.7044",,Giersch et al. 2017,48.7058,-113.7044
Lednia tumana,yes,1996-2015,Birdwoman East,MT,USA,1933,,"48.6991, -113.7473",,Giersch et al. 2017,48.6991,-113.7473
Lednia tumana,yes,1996-2015,Reynolds Creek West 1,MT,USA,2038,,"48.6873, -113.7277",,Giersch et al. 2017,48.6873,-113.7277
Lednia tumana,yes,1996-2015,Lake Ellen Wilson South,MT,USA,1848,,"48.6067, -113.7449",,Giersch et al. 2017,48.6067,-113.7449
Lednia tumana,yes,1996-2015,Whitecrow Glacier West,MT,USA,1701,,"48.9159, -113.8247",,Giersch et al. 2017,48.9159,-113.8247
Lednia tumana,yes,1996-2015,Gunsight Lake 2,MT,USA,2050,,"48.612, -113.7287",,Giersch et al. 2017,48.612,-113.7287
Lednia tumana,yes,1996-2015,Siyeh Glacier West,MT,USA,1916,,"48.7381, -113.6543",,Giersch et al. 2017,48.7381,-113.6543
Lednia tumana,yes,1996-2015,Siyeh Glacier West,MT,USA,1862,,"48.7393, -113.6533",,Giersch et al. 2017,48.7393,-113.6533
Lednia tumana,yes,1996-2015,Logan Creek Spring,MT,USA,2051,,"48.6971, -113.7268",,Giersch et al. 2017,48.6971,-113.7268
Lednia tumana,yes,1996-2015,Cataract Creek West,MT,USA,1619,,"48.7425, -113.7001",,Giersch et al. 2017,48.7425,-113.7001
Lednia tumana,yes,1996-2015,Ahern Pass,MT,USA,2038,,"48.8192, -113.7732",,Giersch et al. 2017,48.8192,-113.7732
Lednia tumana,yes,1996-2015,Rising Wolf South Face,MT,USA,2023,,"48.4889, -113.4087",,Giersch et al. 2017,48.4889,-113.4087
Lednia tumana,yes,1996-2015,Logan Creek Spring,MT,USA,1979,,"48.6994, -113.7237",,Giersch et al. 2017,48.6994,-113.7237
Lednia tumana,yes,1996-2015,Appistoki Creek,MT,USA,2095,,"48.4588, -113.3489",,Giersch et al. 2017,48.4588,-113.3489
Lednia tumana,yes,1996-2015,Boulder Glacier,MT,USA,2212,,"48.9617, -114.083",,Giersch et al. 2017,48.9617,-114.083
Lednia tumana,yes,1996-2015,Lunch Creek,MT,USA,2139,,"48.7052, -113.7043",,Giersch et al. 2017,48.7052,-113.7043
Lednia tumana,yes,1996-2015,Shepard Glacier,MT,USA,1937,,"48.8685, -113.8503",,Giersch et al. 2017,48.8685,-113.8503
Lednia tumana,yes,1996-2015,Agassiz Glacier East,MT,USA,1835,,"48.9459, -114.1401",,Giersch et al. 2017,48.9459,-114.1401
Lednia tumana,yes,1996-2015,Vulture Peak South Face,MT,USA,2425,,"48.8271, -114.014",,Giersch et al. 2017,48.8271,-114.014
Lednia tumana,yes,1996-2015,Vulture Peak South Face,MT,USA,2382,,"48.8262, -114.0138",,Giersch et al. 2017,48.8262,-114.0138
Lednia tumana,yes,1996-2015,Thunderbird Glacier 4,MT,USA,2067,,"48.9386, -114.0343",,Giersch et al. 2017,48.9386,-114.0343
Lednia tumana,yes,1996-2015,Lunch Creek,MT,USA,2082,,"48.7045, -113.704",,Giersch et al. 2017,48.7045,-113.704
Lednia tumana,yes,1996-2015,Blackfoot Glacier Far East,MT,USA,2039,,"48.6019, -113.6603",,Giersch et al. 2017,48.6019,-113.6603
Lednia tumana,yes,1996-2015,Vulture Peak South Face,MT,USA,2333,,"48.8254, -114.013",,Giersch et al. 2017,48.8254,-114.013
Lednia tumana,yes,1996-2015,Lake Ellen Wilson North,MT,USA,1908,,"48.6071, -113.7573",,Giersch et al. 2017,48.6071,-113.7573
Lednia tumana,yes,1996-2015,Birdwoman West,MT,USA,1974,,"48.6983, -113.7522",,Giersch et al. 2017,48.6983,-113.7522
Lednia tumana,yes,1996-2015,Siyeh Glacier,MT,USA,1908,,"48.7378, -113.6538",,Giersch et al. 2017,48.7378,-113.6538
Lednia tumana,yes,1996-2015,Sexton Glacier,MT,USA,1996,,"48.7003, -113.6282",,Giersch et al. 2017,48.7003,-113.6282
Lednia tumana,yes,1996-2015,Siyeh Glacier,MT,USA,1857,,"48.739, -113.6524",,Giersch et al. 2017,48.739,-113.6524
Lednia tumana,yes,1996-2015,Siyeh Glacier,MT,USA,1832,,"48.7393, -113.6509",,Giersch et al. 2017,48.7393,-113.6509
Lednia tumana,yes,1996-2015,Mt. James 2,MT,USA,2145,,"48.5886, -113.4827",,Giersch et al. 2017,48.5886,-113.4827
Lednia tumana,yes,1996-2015,Sexton Glacier,MT,USA,1934,,"48.7003, -113.6265",,Giersch et al. 2017,48.7003,-113.6265
Lednia tumana,yes,1996-2015,Rising Wolf South Face,MT,USA,1923,,"48.4868, -113.4052",,Giersch et al. 2017,48.4868,-113.4052
Lednia tumana,yes,1996-2015,Cattle Queen Creek,MT,USA,1968,,"48.8343, -113.7964",,Giersch et al. 2017,48.8343,-113.7964
Lednia tumana,yes,1996-2015,Sperry Glacier 3,MT,USA,2248,,"48.6312, -113.7609",,Giersch et al. 2017,48.6312,-113.7609
Lednia tumana,yes,1996-2015,Boulder Glacier,MT,USA,2207,,"48.9614, -114.0814",,Giersch et al. 2017,48.9614,-114.0814
Lednia tumana,yes,1996-2015,Sexton Glacier,MT,USA,1838,,"48.7005, -113.6232",,Giersch et al. 2017,48.7005,-113.6232
Lednia tumana,yes,1996-2015,Piegan Pass High,MT,USA,2217,,"48.7206, -113.6934",,Giersch et al. 2017,48.7206,-113.6934
Lednia tumana,yes,1996-2015,Sexton Glacier,MT,USA,1772,,"48.7006, -113.6205",,Giersch et al. 2017,48.7006,-113.6205
Lednia tumana,yes,1996-2015,Blackfoot Glacier,MT,USA,2008,,"48.6023, -113.6667",,Giersch et al. 2017,48.6023,-113.6667
Lednia tumana,yes,1996-2015,Boulder Glacier,MT,USA,2196,,"48.9604, -114.0802",,Giersch et al. 2017,48.9604,-114.0802
Lednia tumana,yes,1996-2015,Sexton Glacier,MT,USA,1725,,"48.7003, -113.6192",,Giersch et al. 2017,48.7003,-113.6192
Lednia tumana,yes,1996-2015,Lunch Creek,MT,USA,2019,,"48.7027, -113.7036",,Giersch et al. 2017,48.7027,-113.7036
Lednia tumana,yes,1996-2015,Piegan Pass High,MT,USA,2082,,"48.7234, -113.6922",,Giersch et al. 2017,48.7234,-113.6922
Lednia tumana,yes,1996-2015,Boulder Creek,MT,USA,2087,,"48.7222, -113.6194",,Giersch et al. 2017,48.7222,-113.6194
Lednia tumana,yes,1996-2015,Cataract Creek,MT,USA,1922,,"48.729, -113.6982",,Giersch et al. 2017,48.729,-113.6982
Lednia tumana,yes,1996-2015,Blackfoot Glacier,MT,USA,1973,,"48.6044, -113.6684",,Giersch et al. 2017,48.6044,-113.6684
Lednia tumana,yes,1996-2015,Blackfoot Glacier,MT,USA,1963,,"48.6059, -113.6695",,Giersch et al. 2017,48.6059,-113.6695
Lednia tumana,yes,1996-2015,Old Sun Glacier Pond,MT,USA,1689,,"48.8598, -113.774",,Giersch et al. 2017,48.8598,-113.774
Lednia tumana,yes,1996-2015,Old Sun Glacier Pond,MT,USA,1658,,"48.8591, -113.7718",,Giersch et al. 2017,48.8591,-113.7718
Lednia tumana,yes,1996-2015,Siyeh Glacier Far West,MT,USA,1843,,"48.7423, -113.6516",,Giersch et al. 2017,48.7423,-113.6516
Lednia tumana,yes,1996-2015,Sperry Glacier 6,MT,USA,2213,,"48.6314, -113.7747",,Giersch et al. 2017,48.6314,-113.7747
Lednia tumana,yes,1996-2015,Cattle Queen Creek,MT,USA,1845,,"48.8322, -113.799",,Giersch et al. 2017,48.8322,-113.799
Lednia tumana,yes,1996-2015,Lunch Creek,MT,USA,1962,,"48.7, -113.7037",,Giersch et al. 2017,48.7,-113.7037
Lednia tumana,yes,1996-2015,Weasel Collar Glacier,MT,USA,1967,,"48.9003, -114.0648",,Giersch et al. 2017,48.9003,-114.0648
Lednia tumana,yes,1996-2015,Red Eagle Meadows,MT,USA,1944,,"48.5879, -113.6029",,Giersch et al. 2017,48.5879,-113.6029
Lednia tumana,yes,1996-2015,Weasel Collar Glacier,MT,USA,1845,,"48.9035, -114.0642",,Giersch et al. 2017,48.9035,-114.0642
Lednia tumana,yes,1996-2015,Jackson Glacier 3,MT,USA,1905,,"48.6043, -113.6915",,Giersch et al. 2017,48.6043,-113.6915
Lednia tumana,yes,1996-2015,Swiftcurrent Glacier 3,MT,USA,1635,,"48.778, -113.7461",,Giersch et al. 2017,48.778,-113.7461
Lednia tumana,yes,1996-2015,Whitecrow Glacier East,MT,USA,1693,,"48.9164, -113.8227",,Giersch et al. 2017,48.9164,-113.8227
Lednia tumana,yes,1996-2015,Cataract Creek,MT,USA,1892,,"48.7302, -113.6964",,Giersch et al. 2017,48.7302,-113.6964
Lednia tumana,yes,1996-2015,Grinnell Glacier,MT,USA,1950,,"48.7566, -113.7247",,Giersch et al. 2017,48.7566,-113.7247
Lednia tumana,yes,1996-2015,Grinnell Glacier,MT,USA,1944,,"48.7574, -113.7248",,Giersch et al. 2017,48.7574,-113.7248
Lednia tumana,yes,1996-2015,Grinnell Glacier,MT,USA,1934,,"48.7586, -113.7249",,Giersch et al. 2017,48.7586,-113.7249
Lednia tumana,yes,1996-2015,Grinnell Glacier,MT,USA,1900,,"48.7604, -113.7246",,Giersch et al. 2017,48.7604,-113.7246
Lednia tumana,yes,1996-2015,Grinnell Glacier,MT,USA,1828,,"48.7626, -113.7212",,Giersch et al. 2017,48.7626,-113.7212
Lednia tumana,yes,1996-2015,Swiftcurrent Glacier 3,MT,USA,1609,,"48.78, -113.7432",,Giersch et al. 2017,48.78,-113.7432
Lednia tumana,yes,1996-2015,Weasel Collar Glacier,MT,USA,1479,,"48.9106, -114.0648",,Giersch et al. 2017,48.9106,-114.0648
Lednia tumana,yes,1996-2015,Jackson Glacier 3,MT,USA,1771,,"48.6085, -113.6882",,Giersch et al. 2017,48.6085,-113.6882
